Student_ID,Name,Age,Gender,Institution_Type,Board,Department,Class_Semester,Attendance,Study_Hours,Assignment_Completion,Previous_GPA,Participation_Score,Internet_Usage,Sleep_Hours,Subject_1_Name,Subject_1_Score,Subject_2_Name,Subject_2_Score,Subject_3_Name,Subject_3_Score,Subject_4_Name,Subject_4_Score,Subject_5_Name,Subject_5_Score,Final_Score,GPA,Grade,Academic_Health_Score,Risk_Level
STU00011,Kiara Pillai,21,Male,Commerce,N/A,Banking,Semester 2,65.9,4.99,78.34,10.0,9.94,1.69,6.53,Accountancy,56.96,Business_Studies,81.96,Economics,63.26,Statistics,52.95,Elective,60.88,61.11,6.11,B,67.01,Medium_Risk
STU00012,Arjun Malhotra,18,Other,Engineering,N/A,Mechanical,Semester 5,63.26,2.5,100.0,10.0,3.54,2.66,7.34,Engineering_Mathematics,77.27,Programming,68.32,Data_Structures,68.67,DBMS,58.56,Operating_Systems,63.17,66.44,6.64,B,65.18,Medium_Risk
STU00013,Siddharth Verma,19,Female,Commerce,N/A,Banking,Semester 7,84.57,4.91,74.0,5.35,6.66,3.21,9.62,Accountancy,78.17,Business_Studies,49.65,Economics,74.11,Statistics,57.68,Elective,72.7,54.85,5.49,C,73.3,Low_Risk
STU00014,Priya Agarwal,22,Other,Commerce,N/A,Banking,Semester 5,78.65,4.27,76.9,8.85,0.61,2.93,7.13,Accountancy,65.53,Business_Studies,50.55,Economics,72.6,Statistics,70.85,Elective,58.9,59.52,5.95,C,69.51,Low_Risk
STU00015,Nikhil Pillai,23,Other,Postgraduate,N/A,M.Sc Computer Science,Semester 4,85.71,8.46,82.34,7.82,5.38,3.53,5.99,Core_Subject_1,76.54,Core_Subject_2,79.61,Research_Methodology,87.82,Elective,93.56,Seminar,59.04,64.61,6.46,B,86.29,Low_Risk
STU00016,Reyansh Agarwal,22,Female,Arts_Science,N/A,English Literature,Semester 8,66.82,4.87,50.89,5.43,6.66,5.71,7.69,Core_Subject_1,36.86,Core_Subject_2,58.67,Core_Subject_3,60.19,Language,53.59,Elective,49.1,51.0,5.1,C,58.66,High_Risk
STU00017,Divya Iyer,19,Other,Engineering,N/A,Civil,Semester 6,83.03,5.29,79.14,5.12,5.69,3.09,7.4,Engineering_Mathematics,65.73,Programming,68.31,Data_Structures,51.22,DBMS,68.07,Operating_Systems,68.77,64.91,6.49,B,74.22,Low_Risk
STU00018,Siddharth Menon,21,Male,Engineering,N/A,Electrical,Semester 8,53.95,8.17,65.3,6.67,8.75,0.2,5.27,Engineering_Mathematics,49.58,Programming,74.54,Data_Structures,63.38,DBMS,47.44,Operating_Systems,66.01,60.92,6.09,B,66.99,Medium_Risk
STU00019,Pooja Menon,11,Female,School,ICSE,General,Class 10,82.98,5.91,60.61,6.21,6.41,5.04,6.39,Mathematics,66.25,Science,65.98,Social_Science,38.47,English,37.88,Second_Language,60.53,54.49,5.45,C,69.4,Low_Risk
STU00020,Arjun Bansal,17,Other,Diploma,N/A,Polytechnic - Computer,Semester 4,70.0,7.64,75.75,5.16,4.75,0.44,5.75,Core_Subject_1,65.37,Core_Subject_2,73.15,Laboratory,62.91,Workshop,68.19,Elective,52.74,55.2,5.52,C,74.87,Low_Risk
STU00021,Aditi Kumar,22,Other,Commerce,N/A,Accounting & Finance,Semester 5,77.54,5.49,80.88,8.61,5.28,0.45,8.29,Accountancy,73.13,Business_Studies,73.33,Economics,83.43,Statistics,89.58,Elective,77.36,64.99,6.5,B,76.88,Low_Risk
STU00022,Nikhil Chopra,24,Female,Postgraduate,N/A,M.Sc Computer Science,Semester 1,59.34,0.45,52.77,5.77,5.38,7.27,8.34,Core_Subject_1,40.12,Core_Subject_2,41.96,Research_Methodology,51.81,Elective,49.31,Seminar,36.8,57.02,5.7,C,43.44,High_Risk
STU00023,Kiara Mehta,23,Other,Commerce,N/A,Economics,Semester 2,79.26,4.44,59.19,7.19,4.21,4.73,8.31,Accountancy,62.63,Business_Studies,63.3,Economics,60.02,Statistics,47.79,Elective,54.12,60.85,6.09,B,65.08,Medium_Risk
STU00024,Rohan Chopra,23,Male,Commerce,N/A,Accounting & Finance,Semester 5,100.0,5.71,63.37,7.24,2.72,2.81,7.03,Accountancy,69.52,Business_Studies,72.79,Economics,64.64,Statistics,76.15,Elective,65.03,63.72,6.37,B,79.36,Low_Risk
STU00025,Karthik Iyer,22,Female,Engineering,N/A,Computer Science,Semester 7,83.36,8.09,67.13,4.99,5.06,4.3,4.86,Engineering_Mathematics,67.15,Programming,62.46,Data_Structures,48.59,DBMS,57.91,Operating_Systems,61.22,56.69,5.67,C,77.47,Low_Risk
STU00026,Vikram Verma,19,Female,Diploma,N/A,Polytechnic - Civil,Semester 8,85.01,5.97,79.63,9.76,5.82,2.79,5.92,Core_Subject_1,58.39,Core_Subject_2,65.55,Laboratory,77.16,Workshop,71.51,Elective,79.76,66.33,6.63,B,78.22,Low_Risk
STU00027,Shreya Iyer,11,Male,School,ICSE,General,Class 9,83.41,2.91,77.61,4.17,8.81,5.9,6.57,Mathematics,47.62,Science,44.52,Social_Science,50.32,English,68.49,Second_Language,50.04,63.49,6.35,B,65.04,Medium_Risk
STU00028,Arjun Menon,22,Male,Diploma,N/A,Polytechnic - Computer,Semester 8,74.49,1.33,49.66,5.82,4.91,5.03,7.21,Core_Subject_1,37.79,Core_Subject_2,52.37,Laboratory,42.36,Workshop,59.88,Elective,46.8,50.25,5.03,C,51.29,High_Risk
STU00029,Sara Gupta,22,Other,Diploma,N/A,Polytechnic - Computer,Semester 6,69.51,2.11,87.56,6.89,4.71,6.3,6.33,Core_Subject_1,59.18,Core_Subject_2,54.33,Laboratory,50.69,Workshop,64.61,Elective,43.89,69.58,6.96,B,60.74,High_Risk
STU00030,Om Patel,18,Female,Arts_Science,N/A,Chemistry,Semester 1,77.53,2.46,85.01,7.34,2.86,4.8,9.57,Core_Subject_1,59.44,Core_Subject_2,61.37,Core_Subject_3,44.82,Language,65.3,Elective,66.35,52.5,5.25,C,65.16,Medium_Risk
STU00031,Sara Singh,21,Male,Engineering,N/A,Mechanical,Semester 8,95.76,4.12,41.85,6.47,4.1,2.72,6.79,Engineering_Mathematics,36.52,Programming,61.67,Data_Structures,40.79,DBMS,58.83,Operating_Systems,52.27,55.5,5.55,C,64.69,Medium_Risk
STU00032,Aadhya Desai,16,Male,School,ICSE,General,Class 7,77.83,6.52,85.88,8.5,4.91,2.53,6.28,Mathematics,85.93,Science,65.07,Social_Science,72.92,English,68.63,Second_Language,59.97,54.67,5.47,C,78.33,Low_Risk
STU00033,Amit Verma,19,Female,Engineering,N/A,Mechanical,Semester 7,76.81,2.64,72.92,8.18,3.95,1.58,7.63,Engineering_Mathematics,63.78,Programming,65.92,Data_Structures,53.16,DBMS,54.56,Operating_Systems,51.89,56.9,5.69,C,62.52,Medium_Risk
STU00034,Riya Agarwal,18,Male,Engineering,N/A,Electronics,Semester 5,60.54,2.86,100.0,6.95,7.61,1.12,5.44,Engineering_Mathematics,67.71,Programming,67.39,Data_Structures,66.69,DBMS,74.43,Operating_Systems,37.58,66.83,6.68,B,64.04,Medium_Risk
STU00035,Vihaan Joshi,17,Female,Diploma,N/A,Polytechnic - Computer,Semester 4,92.1,8.57,83.81,5.91,4.12,3.42,6.51,Core_Subject_1,70.93,Core_Subject_2,91.57,Laboratory,65.81,Workshop,77.79,Elective,84.25,72.83,7.28,A,88.51,Low_Risk
STU00036,Varun Verma,17,Male,Diploma,N/A,Polytechnic - Civil,Semester 4,72.77,2.11,100.0,9.27,8.85,3.91,8.66,Core_Subject_1,69.42,Core_Subject_2,60.44,Laboratory,62.33,Workshop,67.44,Elective,88.95,68.94,6.89,B,68.18,Low_Risk
STU00037,Amit Desai,21,Other,Arts_Science,N/A,Mathematics,Semester 2,78.04,3.23,50.24,7.32,6.82,0.0,6.74,Core_Subject_1,76.08,Core_Subject_2,71.25,Core_Subject_3,48.79,Language,66.82,Elective,78.9,58.93,5.89,C,62.54,Medium_Risk
STU00038,Meera Menon,21,Female,Postgraduate,N/A,M.Com,Semester 4,72.49,5.33,64.42,5.5,6.65,2.6,7.22,Core_Subject_1,57.44,Core_Subject_2,63.54,Research_Methodology,39.64,Elective,44.07,Seminar,60.37,60.33,6.03,B,64.84,Medium_Risk
STU00039,Pooja Kapoor,21,Other,Postgraduate,N/A,M.Com,Semester 2,75.06,3.22,57.01,5.98,9.0,7.07,6.46,Core_Subject_1,74.32,Core_Subject_2,72.31,Research_Methodology,60.0,Elective,89.86,Seminar,55.48,56.0,5.6,C,63.32,Medium_Risk
STU00040,Karthik Rao,19,Male,Arts_Science,N/A,Chemistry,Semester 3,80.18,5.51,82.07,3.4,7.4,1.44,5.03,Core_Subject_1,60.28,Core_Subject_2,58.3,Core_Subject_3,46.27,Language,54.89,Elective,57.86,60.18,6.02,B,72.13,Low_Risk
STU00041,Rohan Malhotra,23,Female,Postgraduate,N/A,MBA,Semester 1,77.13,4.58,73.47,6.86,7.99,1.18,5.38,Core_Subject_1,57.2,Core_Subject_2,74.64,Research_Methodology,34.56,Elective,55.31,Seminar,62.11,58.04,5.8,C,67.34,Medium_Risk
STU00042,Arjun Desai,19,Female,Commerce,N/A,Banking,Semester 6,60.04,5.62,75.95,6.26,9.34,2.16,9.58,Accountancy,55.83,Business_Studies,59.49,Economics,59.46,Statistics,66.13,Elective,78.92,66.82,6.68,B,66.24,Medium_Risk
STU00043,Rahul Mehta,18,Male,Engineering,N/A,Electronics,Semester 3,68.73,5.05,63.14,6.23,9.95,3.06,7.44,Engineering_Mathematics,61.24,Programming,65.25,Data_Structures,81.68,DBMS,68.68,Operating_Systems,52.15,64.22,6.42,B,65.76,Medium_Risk
STU00044,Myra Gupta,15,Other,School,CBSE,General,Class 12,95.6,5.41,67.24,7.04,0.0,4.17,3.0,Mathematics,49.63,Science,61.37,Social_Science,63.33,English,69.74,Second_Language,64.91,68.86,6.89,B,75.88,Low_Risk
STU00045,Ishaan Pillai,17,Female,Engineering,N/A,Civil,Semester 7,62.26,4.26,59.9,7.98,6.07,2.83,6.76,Engineering_Mathematics,67.1,Programming,47.8,Data_Structures,69.89,DBMS,51.48,Operating_Systems,58.52,56.81,5.68,C,59.17,High_Risk
STU00046,Vihaan Malhotra,20,Other,Commerce,N/A,B.Com General,Semester 8,84.3,4.16,64.83,7.89,9.11,6.99,8.61,Accountancy,65.78,Business_Studies,72.52,Economics,70.3,Statistics,60.83,Elective,64.45,63.36,6.34,B,69.58,Low_Risk
STU00047,Siddharth Verma,15,Other,School,ICSE,General,Class 11,84.92,2.21,100.0,5.7,2.52,1.31,5.57,Mathematics,58.84,Science,59.8,Social_Science,64.37,English,66.5,Second_Language,38.94,47.89,4.79,D,69.66,Low_Risk
STU00048,Divya Patel,17,Female,School,CBSE,General,Class 11,82.64,3.75,83.22,5.66,6.0,5.37,6.17,Mathematics,70.75,Science,56.39,Social_Science,66.91,English,48.96,Second_Language,57.99,53.83,5.38,C,69.99,Low_Risk
STU00049,Yash Menon,27,Other,Postgraduate,N/A,M.A Economics,Semester 1,100.0,1.91,100.0,6.74,6.86,3.64,7.48,Core_Subject_1,70.96,Core_Subject_2,66.63,Research_Methodology,58.98,Elective,57.7,Seminar,77.7,67.42,6.74,B,76.37,Low_Risk
STU00050,Vikram Gupta,18,Female,Arts_Science,N/A,Psychology,Semester 3,82.95,7.57,100.0,5.56,9.01,3.89,6.7,Core_Subject_1,74.86,Core_Subject_2,69.61,Core_Subject_3,50.36,Language,75.16,Elective,65.34,71.74,7.17,A,84.72,Low_Risk
STU00051,Nikhil Malhotra,14,Other,School,State_Board,General,Class 6,100.0,5.84,92.5,8.49,8.37,4.63,7.68,Mathematics,74.2,Science,74.53,Social_Science,74.37,English,90.0,Second_Language,66.8,74.03,7.4,A,87.09,Low_Risk
STU00052,Ananya Gupta,22,Other,Postgraduate,N/A,MBA,Semester 2,84.58,2.72,82.56,6.5,4.43,2.93,6.66,Core_Subject_1,67.17,Core_Subject_2,58.64,Research_Methodology,37.4,Elective,54.95,Seminar,72.35,66.42,6.64,B,67.45,Medium_Risk
STU00053,Sanjay Patel,22,Other,Engineering,N/A,Mechanical,Semester 5,100.0,0.0,35.97,5.63,6.03,4.78,7.52,Engineering_Mathematics,53.01,Programming,61.57,Data_Structures,61.4,DBMS,49.81,Operating_Systems,52.38,60.45,6.05,B,56.1,High_Risk
STU00054,Kiara Desai,21,Male,Commerce,N/A,B.Com General,Semester 4,76.69,1.63,55.28,5.12,10.0,7.0,6.36,Accountancy,44.16,Business_Studies,35.42,Economics,43.77,Statistics,34.96,Elective,56.34,50.56,5.06,C,52.72,High_Risk
STU00055,Reyansh Reddy,17,Female,Commerce,N/A,Banking,Semester 7,79.86,1.91,67.99,7.08,7.29,3.12,8.89,Accountancy,67.85,Business_Studies,76.48,Economics,71.57,Statistics,59.15,Elective,43.93,57.08,5.71,C,62.27,Medium_Risk
STU00056,Karthik Kumar,19,Male,Commerce,N/A,Economics,Semester 2,70.74,2.95,100.0,6.98,7.86,2.42,6.66,Accountancy,44.82,Business_Studies,43.05,Economics,38.28,Statistics,76.21,Elective,78.17,65.55,6.55,B,66.17,Medium_Risk
STU00057,Navya Sharma,17,Female,School,CBSE,General,Class 9,87.27,5.99,63.56,4.7,3.51,3.57,7.33,Mathematics,52.58,Science,67.8,Social_Science,79.93,English,58.98,Second_Language,60.02,57.43,5.74,C,74.2,Low_Risk
STU00058,Myra Pillai,19,Other,Diploma,N/A,Polytechnic - Civil,Semester 7,92.57,7.99,58.86,6.98,4.48,2.14,7.91,Core_Subject_1,77.74,Core_Subject_2,70.05,Laboratory,74.25,Workshop,65.12,Elective,64.17,68.23,6.82,B,81.7,Low_Risk
STU00059,Krishna Joshi,29,Other,Postgraduate,N/A,MBA,Semester 3,75.13,5.58,62.15,6.54,4.74,6.64,7.37,Core_Subject_1,64.35,Core_Subject_2,30.74,Research_Methodology,67.81,Elective,55.96,Seminar,70.15,59.53,5.95,C,67.13,Medium_Risk
STU00060,Aditya Patel,20,Male,Arts_Science,N/A,English Literature,Semester 2,83.35,6.58,44.06,5.44,3.57,1.47,6.97,Core_Subject_1,44.87,Core_Subject_2,66.09,Core_Subject_3,33.25,Language,57.77,Elective,51.53,55.78,5.58,C,67.1,Medium_Risk
STU00061,Ishaan Agarwal,23,Male,Diploma,N/A,Polytechnic - Mechanical,Semester 6,77.36,5.59,45.78,8.4,4.4,2.28,6.87,Core_Subject_1,52.0,Core_Subject_2,75.09,Laboratory,50.0,Workshop,62.21,Elective,59.63,58.79,5.88,C,65.15,Medium_Risk
STU00062,Ishaan Agarwal,21,Other,Engineering,N/A,Computer Science,Semester 5,100.0,4.35,58.84,7.18,6.92,2.35,5.56,Engineering_Mathematics,88.66,Programming,64.22,Data_Structures,63.99,DBMS,64.83,Operating_Systems,78.97,68.86,6.89,B,75.68,Low_Risk
STU00063,Meera Mehta,24,Other,Postgraduate,N/A,M.Com,Semester 3,75.09,6.72,41.07,7.88,5.2,4.15,5.43,Core_Subject_1,82.55,Core_Subject_2,65.43,Research_Methodology,73.85,Elective,49.79,Seminar,70.42,59.42,5.94,C,68.41,Low_Risk
STU00064,Kiara Desai,20,Other,Arts_Science,N/A,English Literature,Semester 7,75.87,4.45,40.71,6.65,8.62,1.23,7.34,Core_Subject_1,49.9,Core_Subject_2,72.08,Core_Subject_3,56.3,Language,81.28,Elective,62.74,49.07,4.91,D,61.95,Medium_Risk
STU00065,Vivaan Singh,17,Male,Arts_Science,N/A,Physics,Semester 8,72.45,6.26,78.86,7.54,5.98,4.43,6.36,Core_Subject_1,79.21,Core_Subject_2,85.17,Core_Subject_3,70.46,Language,80.8,Elective,66.15,64.4,6.44,B,75.87,Low_Risk
STU00066,Aanya Kumar,21,Male,Engineering,N/A,Civil,Semester 2,90.72,6.73,86.44,7.69,5.43,1.54,5.77,Engineering_Mathematics,59.01,Programming,69.59,Data_Structures,39.7,DBMS,79.3,Operating_Systems,68.83,75.24,7.52,A,81.7,Low_Risk
STU00067,Meera Chopra,20,Male,Commerce,N/A,Economics,Semester 1,76.01,3.55,67.81,7.32,5.78,2.61,8.81,Accountancy,72.55,Business_Studies,71.82,Economics,70.11,Statistics,51.29,Elective,71.16,60.8,6.08,B,65.9,Medium_Risk
STU00068,Vivaan Kapoor,22,Female,Commerce,N/A,B.Com General,Semester 5,81.42,7.16,73.75,2.88,5.6,3.07,9.62,Accountancy,44.27,Business_Studies,76.94,Economics,64.98,Statistics,66.19,Elective,56.44,48.26,4.83,D,76.59,Low_Risk
STU00069,Varun Gupta,17,Male,Engineering,N/A,Electronics,Semester 4,71.91,2.55,67.28,4.73,6.68,1.1,7.83,Engineering_Mathematics,41.94,Programming,56.41,Data_Structures,57.32,DBMS,49.36,Operating_Systems,65.0,52.84,5.28,C,58.5,High_Risk
STU00070,Sara Gupta,19,Female,Diploma,N/A,Polytechnic - Mechanical,Semester 7,58.13,5.24,60.42,8.6,5.34,0.0,5.25,Core_Subject_1,39.52,Core_Subject_2,61.62,Laboratory,81.14,Workshop,53.23,Elective,73.77,59.14,5.91,C,61.0,High_Risk
STU00071,Aditi Joshi,23,Other,Postgraduate,N/A,MBA,Semester 3,89.74,1.26,56.32,8.93,5.45,5.08,7.21,Core_Subject_1,66.9,Core_Subject_2,50.0,Research_Methodology,56.56,Elective,56.75,Seminar,51.6,56.77,5.68,C,59.91,High_Risk
STU00072,Aditya Agarwal,18,Other,Diploma,N/A,Polytechnic - Mechanical,Semester 6,90.52,4.49,66.55,6.72,4.29,1.11,5.68,Core_Subject_1,52.49,Core_Subject_2,69.13,Laboratory,49.86,Workshop,63.75,Elective,56.63,52.85,5.29,C,70.82,Low_Risk
STU00073,Shreya Sharma,17,Female,Arts_Science,N/A,Psychology,Semester 8,95.47,4.48,84.45,5.38,5.75,0.16,3.85,Core_Subject_1,68.59,Core_Subject_2,54.0,Core_Subject_3,51.47,Language,60.36,Elective,70.71,64.52,6.45,B,76.76,Low_Risk
STU00074,Aditya Singh,11,Other,School,State_Board,General,Class 12,96.44,1.81,68.07,8.67,7.07,3.79,6.62,Mathematics,63.21,Science,62.74,Social_Science,62.54,English,84.58,Second_Language,50.85,61.25,6.13,B,68.1,Low_Risk
STU00075,Vihaan Kumar,18,Female,Arts_Science,N/A,English Literature,Semester 2,82.5,7.18,29.46,9.04,6.79,5.56,5.31,Core_Subject_1,60.93,Core_Subject_2,68.94,Core_Subject_3,68.62,Language,76.49,Elective,58.49,62.85,6.29,B,69.38,Low_Risk
STU00076,Reyansh Kapoor,18,Male,Arts_Science,N/A,Physics,Semester 8,80.69,4.55,96.22,6.21,4.54,2.39,8.55,Core_Subject_1,67.32,Core_Subject_2,54.46,Core_Subject_3,59.12,Language,71.83,Elective,80.41,63.27,6.33,B,75.52,Low_Risk
STU00077,Pooja Rao,19,Other,Engineering,N/A,Computer Science,Semester 5,80.03,5.39,60.73,6.36,2.64,3.67,7.49,Engineering_Mathematics,50.23,Programming,71.07,Data_Structures,52.41,DBMS,41.72,Operating_Systems,61.65,50.86,5.09,C,67.49,Medium_Risk
STU00078,Riya Reddy,19,Other,Diploma,N/A,Polytechnic - Mechanical,Semester 7,91.35,3.68,44.12,4.29,4.88,0.9,7.43,Core_Subject_1,63.11,Core_Subject_2,40.8,Laboratory,42.81,Workshop,45.07,Elective,67.07,48.41,4.84,D,62.93,Medium_Risk
STU00079,Aditya Chopra,16,Male,School,State_Board,General,Class 11,50.42,6.15,71.85,4.88,6.27,2.23,6.21,Mathematics,57.16,Science,60.84,Social_Science,62.05,English,69.03,Second_Language,47.29,52.01,5.2,C,62.2,Medium_Risk
STU00080,Vivaan Chopra,20,Other,Engineering,N/A,Civil,Semester 4,61.25,3.72,91.38,4.31,5.6,1.76,7.04,Engineering_Mathematics,60.49,Programming,54.61,Data_Structures,58.77,DBMS,52.98,Operating_Systems,56.64,49.39,4.94,D,63.18,Medium_Risk
STU00081,Pooja Pillai,23,Male,Postgraduate,N/A,M.Com,Semester 1,88.17,8.39,100.0,4.85,6.15,1.05,5.89,Core_Subject_1,59.89,Core_Subject_2,60.65,Research_Methodology,64.1,Elective,76.63,Seminar,67.14,59.5,5.95,C,87.28,Low_Risk
STU00082,Rahul Rao,20,Female,Diploma,N/A,Polytechnic - Computer,Semester 8,82.74,2.44,100.0,7.79,6.2,0.0,5.62,Core_Subject_1,79.56,Core_Subject_2,69.33,Laboratory,75.1,Workshop,52.35,Elective,68.27,58.05,5.81,C,72.3,Low_Risk
STU00083,Meera Sharma,29,Female,Postgraduate,N/A,MBA,Semester 1,74.24,4.72,82.41,6.01,5.14,3.58,4.4,Core_Subject_1,65.91,Core_Subject_2,66.78,Research_Methodology,34.17,Elective,64.05,Seminar,60.84,61.42,6.14,B,68.84,Low_Risk
STU00084,Aarav Menon,23,Female,Arts_Science,N/A,English Literature,Semester 6,90.0,7.37,86.25,5.09,7.41,5.12,8.93,Core_Subject_1,58.15,Core_Subject_2,74.18,Core_Subject_3,59.19,Language,72.82,Elective,67.85,72.75,7.27,A,83.77,Low_Risk
STU00085,Varun Reddy,18,Male,Commerce,N/A,B.Com General,Semester 4,60.53,2.05,35.28,6.55,3.65,2.63,7.76,Accountancy,46.29,Business_Studies,51.57,Economics,51.72,Statistics,54.61,Elective,47.46,48.12,4.81,D,45.95,High_Risk
STU00086,Pooja Iyer,23,Male,Arts_Science,N/A,Psychology,Semester 6,82.04,4.36,86.89,5.91,6.49,5.14,6.17,Core_Subject_1,50.9,Core_Subject_2,43.69,Core_Subject_3,78.03,Language,67.11,Elective,76.05,58.88,5.89,C,72.79,Low_Risk
STU00087,Sara Sharma,21,Female,Commerce,N/A,Banking,Semester 2,82.6,1.52,84.31,8.14,4.36,1.13,4.1,Accountancy,57.82,Business_Studies,51.43,Economics,53.7,Statistics,63.49,Elective,67.9,65.1,6.51,B,64.29,Medium_Risk
STU00088,Karthik Menon,29,Male,Postgraduate,N/A,M.A Economics,Semester 3,85.66,3.16,83.69,7.38,0.0,5.78,3.0,Core_Subject_1,59.16,Core_Subject_2,49.39,Research_Methodology,54.87,Elective,47.93,Seminar,53.12,53.56,5.36,C,67.84,Medium_Risk
STU00089,Sai Kapoor,22,Female,Postgraduate,N/A,MBA,Semester 2,74.75,2.99,98.58,4.34,9.37,3.33,5.39,Core_Subject_1,49.51,Core_Subject_2,48.62,Research_Methodology,37.66,Elective,47.19,Seminar,48.3,50.68,5.07,C,64.91,Medium_Risk
STU00090,Aanya Rao,13,Other,School,CBSE,General,Class 9,71.5,5.25,54.53,7.95,3.47,2.83,6.14,Mathematics,60.97,Science,59.08,Social_Science,58.51,English,64.4,Second_Language,62.8,55.11,5.51,C,64.35,Medium_Risk
STU00091,Ananya Patel,19,Male,Diploma,N/A,Polytechnic - Civil,Semester 3,90.01,0.82,78.13,9.02,7.03,3.74,6.17,Core_Subject_1,63.59,Core_Subject_2,56.05,Laboratory,62.52,Workshop,50.52,Elective,70.82,65.73,6.57,B,64.36,Medium_Risk
STU00092,Zara Chopra,28,Other,Postgraduate,N/A,M.Sc Computer Science,Semester 4,78.81,3.69,100.0,5.78,4.6,4.27,7.23,Core_Subject_1,54.27,Core_Subject_2,54.9,Research_Methodology,75.12,Elective,58.8,Seminar,67.18,69.87,6.99,B,72.31,Low_Risk
STU00093,Zara Patel,13,Female,School,CBSE,General,Class 9,86.2,4.83,58.99,6.71,5.85,0.73,4.99,Mathematics,56.32,Science,63.71,Social_Science,73.55,English,68.2,Second_Language,68.96,58.61,5.86,C,70.58,Low_Risk
STU00094,Riya Kumar,19,Other,Arts_Science,N/A,Chemistry,Semester 5,88.58,8.82,59.49,4.29,3.91,4.72,7.55,Core_Subject_1,58.07,Core_Subject_2,63.54,Core_Subject_3,87.48,Language,68.97,Elective,49.27,54.59,5.46,C,79.27,Low_Risk
STU00095,Aanya Kapoor,18,Other,Arts_Science,N/A,Chemistry,Semester 5,84.94,4.15,70.72,8.04,5.93,4.46,6.65,Core_Subject_1,55.27,Core_Subject_2,46.27,Core_Subject_3,59.46,Language,65.34,Elective,41.4,61.89,6.19,B,67.64,Medium_Risk
STU00096,Vikram Sharma,23,Male,Engineering,N/A,Civil,Semester 5,90.1,4.6,65.11,5.49,6.98,3.79,7.72,Engineering_Mathematics,66.85,Programming,66.35,Data_Structures,65.39,DBMS,53.02,Operating_Systems,55.31,55.36,5.54,C,71.4,Low_Risk
